..,,,::::;;;;;;+++++********++++++*******%%%%*****++++;;;;;:
..,,::::;;;;;;+++++**********+++++******%%%%%*****++++;;;;;:
..,,::::;;;;;++++++********************%%%%%%%****++++;;;;;:
..,,::;;;;;+++++++*********************%%%%%%****++++++;;;;;
..,,::;;;++++++++*********************%%%%%%%***++++++;;;;;;
..,,::;;;+++++++*********************%%%%%%%****++++++;;;;;;
..,,:::;;++++********************%%%%%%%%%%%****++++++;;;;;;
..,,:::;;++++****%%%%%%*%%%%****%%%%%%%%%%%%****++++++;;;;++
.,,,,:::;+++*****%%%%%%%%%%%%%%%%%%%%%%%%%%%%***+++++++++;++
.,,,,:::;;++****%%%%%%%%%%%%%%%%%%%%%%%%%%%%****++++++++++;;
.,,,,:::;;++****%%%%%%%%%%#%%%%%%%###%%%%%%%****++++++++++;;
.,,,,::;;;+++***%%%%%%%%%###%%#########%%%%%%**********+++;;
.,,,,::;;;+++****%%%%%%%#################%%%%%*********++++;
,,,,,::;;;;+++***%%%%%%%#########@@@########%%%********++++;
,,,,,::;;;;;+++**%%%%%%#########@@@@@########%%%%%%%%***++++
,,,,:::;;;;;;+++*%%%%###########@@@@@@@########%%%%%%%%**+++
,,,:::::;;;;;+++**%%%##########@@@@@@@@@@@@########%%%%%***+
,,,:::::::;;;;++**%%######@@@##@@@@@@@@@@@@@#########%%%%***
,,,,::::::;;;;+++**%#######@@@@@@@@@@@@@@@@@@@########%%%***
,,,,:::::::;;;+++**%%######@@@@@@@@@@@@@@@@@@@@@@######%%%**
